Workcenter,Item Number,Item Desc.,OP,TBC,Setup Hours,Labor Hours,Machine Hrs,SOQ,Projected AU,Prev. AU,Material PN,Material QTY,Material Desc.,Standard Unit Cost,Rolling 12 Months Usage (Actual Sales),Part Weight,Number of Ops,Annual Material Use,MATSUMHLP,Pieces/Hour,Seconds/Piece,Number of Setups,Annual Hours,Annual Setup Hours,Annual Run Hours,Annual Run Hours Based on Rolling 12,Total Annual Hours Rolling 12,DWGA,DWGB
53613,450022,"PISTON TEE CHECK,BRS",20,3,1.84,5.99,10.42,30,71,17,701242,1.636,"ROD,RD  1.625 C36000   BRS FC",$36.82 ,16,8,3,38.72,12.91,95,37.51,0.54,1.16,0.99,0.17,0.17,1.16,LNKA,LNKB
53610,450024,"PISTON TEE CHECK,BRS",20,3,1.84,7.98,13.88,1087,0,19,701247,1.509,"ROD,RD  2.000 C36000   BRS",$9.92 ,24,12,3,0,0,72,49.97,0.03,0.39,0.05,0.34,0.34,0.39,LNKA,LNKB
53632,450024,"PISTON TEE CHECK,BRS",10,3,4.34,28.75,50,1087,0,19,701247,1.509,"ROD,RD  2.000 C36000   BRS",$9.92 ,24,12,3,0,0,20,180,0.03,1.33,0.13,1.2,1.2,1.33,LNKA,LNKB
54110,450042,"PISTON,BRS",11,4,0,0.02,0.02,412,3376,1404,701242,1.55,"ROD,RD  1.625 C36000   BRS FC",$9.37 ,1230,8,3,1744.27,581.42,500000,0.01,2.99,0,-0.01,0.01,0.01,0,LNKA,LNKB
53662,450042,"PISTON,BRS",10,3,4.34,19.16,33.33,412,3376,1404,701242,1.55,"ROD,RD  1.625 C36000   BRS FC",$9.37 ,1230,8,3,1744.27,581.42,30,119.99,2.99,53.97,12.97,41,41,53.97,LNKA,LNKB
53218,450042,"PISTON,BRS",5,2,0,0.02,0.02,412,3376,1404,701242,1.55,"ROD,RD  1.625 C36000   BRS FC",$9.37 ,1230,8,3,1744.27,581.42,5000,0.72,2.99,0.25,0,0.25,0.25,0.25,LNKA,LNKB
51050,   007579SF-13,"PISTON,BRS OPD W/0.625 SEAT",5,2,0.46,0,0,400,3678,1269,701233,0.554,"ROD,RD  1.250 C36000   BRS FC",$6.66 ,659,5,3,679.2,226.4,#DIV/0!,0,1.65,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
54110,   007579SF-13,"PISTON,BRS OPD W/0.625 SEAT",11,4,0,0.02,0.02,400,3678,1269,701233,0.554,"ROD,RD  1.250 C36000   BRS FC",$6.66 ,659,5,3,679.2,226.4,500000,0.01,1.65,0,-0.01,0.01,0.01,0,LNKA,LNKB
53691,   007579SF-13,"PISTON,BRS OPD W/0.625 SEAT",10,3,4.73,13.58,23.6,400,3678,1269,701233,0.554,"ROD,RD  1.250 C36000   BRS FC",$6.66 ,659,5,3,679.2,226.4,42,84.96,1.65,23.36,7.8,15.56,15.56,23.36,LNKA,LNKB
53655,   007188-2,"PISTON,MONEL",10,3,1.96,16.6,28.86,39,0,33,701110,0.485,"ROD,RD  0.750 N04405   MONEL",$35.60 ,11,2,3,0,0,34,103.9,0.29,0.89,0.57,0.32,0.32,0.89,LNKA,LNKB
52010,   007188-2,"PISTON,MONEL",5,2,0.63,0,0,39,0,33,701110,0.485,"ROD,RD  0.750 N04405   MONEL",$35.60 ,11,2,3,0,0,#DIV/0!,0,0.29,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,LNKA,LNKB
54152,   007188-2,"PISTON,MONEL",11,4,0,0.02,0.02,39,0,33,701110,0.485,"ROD,RD  0.750 N04405   MONEL",$35.60 ,11,2,3,0,0,500000,0.01,0.29,0,-0.01,0.01,0.01,0,LNKA,LNKB
53693, FC000312,"PISTON,SSTL",10,3,2.34,9.49,16.5,28,0,24,701542,0.058,"ROD,RD  0.563 S30300SSTLFC",$23.67 ,13,1,5,0,0,60,59.4,0.47,1.31,1.09,0.22,0.22,1.31,LNKA,LNKB
54110, FC000312C-2,"PISTON,SSTL",11,4,0,0.02,0.02,317,5495,823,711058,0.074,"ROD,RD  0.625 S30300SSTLFC",$5.60 ,2743,1,2,203.32,101.66,500000,0.01,8.66,0.01,0,0.01,0.01,0.01,LNKA,LNKB
54110, FC000302,"PISTON,SSTL",11,4,0,0.02,0.02,28,0,0,701534,0.016,ROD.RD  0.313 S30300   SSTL FC,$25.78 ,16,0,5,0,0,500000,0.01,0.58,0,-0.01,0.01,0.01,0,LNKA,LNKB
54110, FC000312C,"PISTON,SSTL",11,4,0,0.02,0.02,378,4953,1870,701542,0.053,"ROD,RD  0.563 S30300SSTLFC",$7.25 ,1457,1,3,87.5,29.17,500000,0.01,3.86,0,-0.01,0.01,0.01,0,LNKA,LNKB
54157,   450042SSB,"PISTON,SSTL",11,4,0,0.02,0.02,50,50,-99999999,703617,1.244,"ROD,RD 1.625 S30400   SSTL",$26.46 ,0,7,4,15.55,3.89,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
53662,   450042SSB,"PISTON,SSTL",10,3,3.5,40.21,69.93,50,50,-99999999,703617,1.244,"ROD,RD 1.625 S30400   SSTL",$26.46 ,0,7,4,15.55,3.89,14,251.75,0,0,0,0,0,0,LNKA,LNKB
53653,  A007853-13SS,"PISTON,SSTL",10,3,2.68,10.54,18.33,863,1570,929,701542,0.037,"ROD,RD  0.563 S30300SSTLFC",$2.99 ,494,1,3,19.36,6.45,54,65.99,0.58,10.61,1.55,9.06,9.06,10.61,LNKA,LNKB
